block_id,omega_ref_proxy,dof_grade,dof_family_id,dof_family_friendly,genes_min
0036f9c5913e34fd327ab78cc9e3debab6d4fe9190d967b45e343d589cc08f29,6.29745226306,B,d738d5cef90d6aa4,d738d5cef90d6aa4,{}
0066ada42fda782dcb418082940f6cfaedfad0cc2e6cf0cfead86a34ea0a9cc6,6.18880708325,A,6357695ae876ac33,6357695ae876ac33,{}
0255a6cba9af62f6163bd60c92e36a6d2da22b505dab862640f7f8804022e779,6.23882932824,B,340262789e51cbcb,340262789e51cbcb,{}
05507ec0145d2d586c0d2d036d4451c60cfbec8cbbac06111545988085c271fd,6.48270544704,B,64df6b42e1735047,64df6b42e1735047,{}
0606ef654428bcf6fe24e4782dfc401fe5422d953fb2d977b018e625c88e34e3,6.44523887424,A,631d30bc180a91a7,631d30bc180a91a7,{}
09e120d04bfd8e429f73f458704e1151844c146a61d2bc4a0bbc4d74187b681f,6.32855210001,B,6357695ae876ac33,6357695ae876ac33,{}
0b94a1bc896111fe5af56f93ae6478111eff4b8e098166c8ad72bf6d72794724,6.50461989408,B,64df6b42e1735047,64df6b42e1735047,{}
0bc6e10ca734cc603a4b936853e60724d15ef71b0b74de85238c4813c346a256,6.43127929128,A,c5b04e6ae0f670fc,c5b04e6ae0f670fc,{}
0c79fe2c6791d9328debbc9f3228ac09f5d9f90e4ae4a0fea44dca08981fc8b1,6.65003923646,A,e1610169dc4e68ad,e1610169dc4e68ad,{}
0d99a6c29dc50d1f133a030c21e3474ef3492f88a42a09366ebc9cb264af4a0d,6.16236075503,B,b7ddc53b4a6f19e7,b7ddc53b4a6f19e7,{}
0da614437804e5b8a14d5b4f0308e523051fe34f39f50c9009817f948216e07e,8.90421471746,A,3a4d99d5b841605f,3a4d99d5b841605f,{}
0f5dee1525b0a8ae578656609a899cb3ff22fb169ad6178886dbb6275fc05ed0,6.25777965547,A,e8405dfb32b95fbf,e8405dfb32b95fbf,{}
0f7f8516c2977c0d3a4659b7647094c5abe15bd8f267132cccc333b41784f151,6.31681887153,A,e1610169dc4e68ad,e1610169dc4e68ad,{}
1053a0c7844d808055936d41e74277e6ef367b19c263eff3585a76386ccd9c0c,6.2030415288,B,9e3d44bbd7f60f21,9e3d44bbd7f60f21,{}
109ee0a72bc89edf2c203974e2d2a144aa704cfdc18dd03800b7f81765c1c476,6.23685766032,B,64df6b42e1735047,64df6b42e1735047,{}
10cf87f6de6953d12eba384891f2434beeafaffa0eae2c9166ecae9382657dfa,6.08185390117,B,64df6b42e1735047,64df6b42e1735047,{}
1149dbab7b9489c911ec85cbed577b986fa8b7b1161619ef02b47cc1b77be408,6.07643768249,B,4fa825e3687f7b68,4fa825e3687f7b68,{}
11f30af39e046fd314ab51e5c2baaaf87c6102e3278e7b1fc24c328d6b2519b5,6.29059647745,B,0da0683c4b5c61df,0da0683c4b5c61df,{}
1294c01ff1fff359281f83c5b1b954efe297b6a9555c0d58ac55264ef5f463e5,6.06572336489,A,ac3864629af5c510,ac3864629af5c510,{}
13f876fe9d9e456fb2b345dbc3a634ee011bd23802e443f36d2a14eb94d85b3f,6.22923976381,B,88649e81af49a513,88649e81af49a513,{}
1406a40ed39aacf085ba48874a9643eace72f7221129aed27094e9f27f0af763,6.06567806237,A,37ea3881796ceb70,37ea3881796ceb70,{}
1422ed2a6c43db52d3368fc895ea9858fd99232614b099d95352325048ecb822,7.18274125813,A,f0557bf15eafec94,f0557bf15eafec94,{}
15a6c65f4f9803ac7fb7ccb908bfba9b989133262d2e51e9830298d1e0632510,6.29357918147,B,19db2fb32bed7851,19db2fb32bed7851,{}
16b6825d7439fcd0d8aad502d67a5a8b8144be2b7ee7a695897cfc7e806ff9dd,6.30893574282,B,64df6b42e1735047,64df6b42e1735047,{}
17fe0c875fe2d2972bca301e153fec6b3f0d02e35e98666f6e07a0684926e781,8.27949993006,A,3a4d99d5b841605f,3a4d99d5b841605f,{}
1833f13146865de289bf409050d75670fbc9a447fd99b6d793f42d80996bdf59,6.67066386063,A,e1610169dc4e68ad,e1610169dc4e68ad,{}
190bdd00f705af588d1670e1774485eb5e63a83fe911c1fb420af74b859cb817,8.45053002625,A,631d30bc180a91a7,631d30bc180a91a7,{}
19486ab84485460c43499868e579de47595175eaa6369b17c5f4755de6bcdcab,6.14493990293,A,3a4d99d5b841605f,3a4d99d5b841605f,{}
19bec4351b23cfdb5aefa0afd101d79a82bdf0babfc0aa1fbab00736c9d54bbf,6.30040732243,A,fb7350f7dc10dcaf,fb7350f7dc10dcaf,{}
1a40cd1653123cbd0d822423785584d0c4e0fc4599f53143792dc26e4f51154a,6.49574131393,A,ff5438f2dfdb3265,ff5438f2dfdb3265,{}
1aafc1d01c2c681c30b1d45acaac522c52fd0259a93cb853ca50c76e47b66b88,8.86023065429,A,3a4d99d5b841605f,3a4d99d5b841605f,{}
1b9881b27b150e48afe61c5ee5e9d64f43a1b075ec7debd9e0d76ed79855b7d9,12.0337586221,A,ff5438f2dfdb3265,ff5438f2dfdb3265,{}
1c24ef2d255c5b4fcb22e3d1c73f20d619e2d73d3cf206aa4c28e2c25ec7b14d,6.42800828591,B,d738d5cef90d6aa4,d738d5cef90d6aa4,{}
1ca8d860061c137b97a9838806a9c8482313f2fc5a028e3e02c905aa245db5a9,6.50351652305,A,e1610169dc4e68ad,e1610169dc4e68ad,{}
1d7ee58e14bd9381aeb26b3e3daaca64b9b675b0770969d53f804e8595d6df91,6.22856097327,A,e1610169dc4e68ad,e1610169dc4e68ad,{}
1e9afe777375003f8a47d7893d5e3c17a718deb058e00d8403fae6514befbbf9,6.34307066799,A,e1610169dc4e68ad,e1610169dc4e68ad,{}
1ee03373df7663f8c8195620201da51119949d0bf5a258aa4e2f3ef75754601b,6.10456323166,A,3a4d99d5b841605f,3a4d99d5b841605f,{}
1eff0f9bc74b43b86352fe1141af0d2b851974ef103c02d8da50d8d8fbe2d36f,6.32293282481,B,0da0683c4b5c61df,0da0683c4b5c61df,{}
2112fab71bf3234220236cf269d805ed51253f2311278c3bb8c82bfa2602d155,6.07003248526,A,29a6648d414db444,29a6648d414db444,{}
2317fbd4fe55e78daf84272996af6635061b596466cf249218a121965119db93,6.29000616949,B,0da0683c4b5c61df,0da0683c4b5c61df,{}
23861339db6151e818ddffca8d92c8c95c3d0ab5013be6b1365af35f2ca55876,6.22300588923,A,ff5438f2dfdb3265,ff5438f2dfdb3265,{}
242ddb15ab6924b376b966bb730fcb377ddb2803961375ca94b29d2203ab41e1,6.1605568514,B,187b25a031e6a911,187b25a031e6a911,{}
24725c508dafe60a09fa2c17b2dcc2395effb22e9fc33e7bebecbc27492ee692,6.19987007016,A,c5b04e6ae0f670fc,c5b04e6ae0f670fc,{}
24ecfee9e894c34881fb206284eabbbd072071468a63934cd00ef564200c1f0e,6.27164481867,B,340262789e51cbcb,340262789e51cbcb,{}
